iter	Logloss
0	0.6582757568
1	0.6241237793
2	0.5917493896
3	0.5611661377
4	0.5373430786
5	0.5159412842
6	0.496682373
7	0.4776889038
8	0.4691509399
9	0.4532625732
10	0.4465396729
11	0.4331553955
12	0.4272165833
13	0.4216354675
14	0.4104889526
15	0.4048317261
16	0.3942941284
17	0.3848336487
18	0.3799220581
19	0.3761025696
20	0.3688796082
21	0.3651265259
22	0.3622825623
23	0.356421875
24	0.3503483887
25	0.3471611023
26	0.3448535156
27	0.3402544556
28	0.3382969055
29	0.3342900391
30	0.3327263794
31	0.3307070313
32	0.3270136108
33	0.3237964478
34	0.3200490723
35	0.3166655884
36	0.3138361816
37	0.3114800415
38	0.3105679932
39	0.3079364624
40	0.3070479736
41	0.3062601318
42	0.3040966187
43	0.3032120056
44	0.3014309692
45	0.299912262
46	0.2983881836
47	0.2976754761
48	0.2970622559
49	0.2953288574
50	0.2945445862
51	0.2940854492
52	0.2925307922
53	0.2914775696
54	0.2911190796
55	0.2906492615
56	0.2901509399
57	0.289257843
58	0.2887858887
59	0.2884185181
60	0.2880085449
61	0.2877024536
62	0.2872507629
63	0.2868808594
64	0.2865710754
65	0.2858408508
66	0.2847111816
67	0.2838869629
68	0.2831794434
69	0.2824871216
70	0.2821739197
71	0.2817844238
72	0.2811173401
73	0.2808585205
74	0.2804294128
75	0.2798011169
76	0.2795668945
77	0.2789579468
78	0.2787340088
79	0.2781937256
80	0.278019165
81	0.2777660217
82	0.2774199219
83	0.2771327515
84	0.2767140808
85	0.2764729309
86	0.2763565063
87	0.2759061279
88	0.275723877
89	0.2753832397
90	0.2752443237
91	0.2749448853
92	0.2747606201
93	0.2745110474
94	0.2743516235
95	0.2740150452
96	0.2739172363
97	0.2738208923
98	0.2736755981
99	0.2735079956
100	0.2731671448
101	0.2727248535
102	0.2726181641
103	0.2724793396
104	0.2721587524
105	0.2720498047
106	0.2717382202
107	0.2713872986
108	0.2712193909
109	0.2710684509
110	0.2709533997
111	0.2708164368
112	0.2705427856
113	0.2703716125
114	0.2702202148
115	0.2699378052
116	0.2698822327
117	0.2695813599
118	0.2694829712
119	0.2693676758
120	0.269197876
121	0.2691043091
122	0.269007782
123	0.2687926636
124	0.2687068787
125	0.2684778442
126	0.2682477722
127	0.2680153198
128	0.2678363953
129	0.267720459
130	0.2675964966
131	0.2674830933
132	0.2673034668
133	0.2670729065
134	0.2669888611
135	0.2667649231
136	0.2666482544
137	0.2664501343
138	0.2663085937
139	0.2661031494
140	0.2659337158
141	0.2657836914
142	0.2656440125
143	0.2654716187
144	0.2654000549
145	0.2652566223
146	0.2650834656
147	0.2649854736
148	0.2647418518
149	0.264589386
150	0.2645020752
151	0.2643632202
152	0.2641864624
153	0.264088562
154	0.2639428101
155	0.263753418
156	0.2636480408
157	0.2634880066
158	0.2634020386
159	0.2632836609
160	0.2631584473
161	0.2630210571
162	0.2629634399
163	0.2629086304
164	0.2628234253
165	0.2626302185
166	0.2625355225
167	0.2624595947
168	0.2623000793
169	0.2622129211
170	0.2621326294
171	0.2619755859
172	0.261819519
173	0.2617095337
174	0.2615898743
175	0.2614656677
176	0.2613944702
177	0.2612415771
178	0.2611658936
179	0.2610562744
180	0.2609486694
181	0.2607962341
182	0.2606252136
183	0.2604969177
184	0.2603865051
185	0.2602301636
186	0.2601130676
187	0.259991333
188	0.2598901672
189	0.2597514648
190	0.2596083374
191	0.2595191345
192	0.2593255615
193	0.2591625366
194	0.258986145
195	0.2588481445
196	0.2587671204
197	0.2586490479
198	0.2585193481
199	0.2583986816
200	0.2582773437
201	0.258109375
202	0.2579039001
203	0.2577705078
204	0.257676239
205	0.2575053101
206	0.2574679565
207	0.2573782959
208	0.257296814
209	0.2571801147
210	0.2570492554
211	0.2568855286
